"PersonId","TaskType","credits"
"PID0001","Write or debug code",17
"PID0001","Meeting workflow",38.6
"PID0001","Email workflow",55.9
"PID0001","Communication workflow",31.3
"PID0001","Document and comment",91.7
"PID0001","Analysis and research",110.9
"PID0001","General assistance",21.9
"PID0001","Specialised workflow",18.4
"PID0002","Write or debug code",26.2
"PID0002","Meeting workflow",97.5
"PID0002","Email workflow",115.4
"PID0002","Communication workflow",65.8
"PID0002","Document and comment",88.3
"PID0002","Analysis and research",67.5
"PID0002","General assistance",45
"PID0002","Specialised workflow",18.3
"PID0003","Write or debug code",48.3
"PID0003","Meeting workflow",11.1
"PID0003","Email workflow",9.8
"PID0003","Communication workflow",7.3
"PID0003","Document and comment",10.6
"PID0003","Analysis and research",11.7
"PID0003","General assistance",7.1
"PID0003","Specialised workflow",9.6
"PID0004","Write or debug code",20.2
"PID0004","Meeting workflow",141.7
"PID0004","Email workflow",204.3
"PID0004","Communication workflow",123.7
"PID0004","Document and comment",56.8
"PID0004","Analysis and research",42.9
"PID0004","General assistance",31.7
"PID0004","Specialised workflow",16.4
"PID0005","Write or debug code",8.4
"PID0005","Meeting workflow",21
"PID0005","Email workflow",31.6
"PID0005","Communication workflow",33.7
"PID0005","Document and comment",47.2
"PID0005","Analysis and research",28.1
"PID0005","General assistance",9.7
"PID0005","Specialised workflow",5.5
"PID0006","Write or debug code",0
"PID0006","Meeting workflow",0
"PID0006","Email workflow",0
"PID0006","Communication workflow",0
"PID0006","Document and comment",0
"PID0006","Analysis and research",0
"PID0006","General assistance",0
"PID0006","Specialised workflow",0
"PID0007","Write or debug code",1.8
"PID0007","Meeting workflow",0.5
"PID0007","Email workflow",0.5
"PID0007","Communication workflow",0.3
"PID0007","Document and comment",0.6
"PID0007","Analysis and research",0.6
"PID0007","General assistance",0.2
"PID0007","Specialised workflow",0.3
"PID0008","Write or debug code",16.1
"PID0008","Meeting workflow",42.5
"PID0008","Email workflow",69.7
"PID0008","Communication workflow",27.1
"PID0008","Document and comment",82.5
"PID0008","Analysis and research",82
"PID0008","General assistance",32.2
"PID0008","Specialised workflow",26.9
"PID0009","Write or debug code",45.8
"PID0009","Meeting workflow",104.1
"PID0009","Email workflow",164.8
"PID0009","Communication workflow",69.2
"PID0009","Document and comment",255
"PID0009","Analysis and research",353.6
"PID0009","General assistance",73.4
"PID0009","Specialised workflow",54.2
"PID0010","Write or debug code",615.4
"PID0010","Meeting workflow",201.9
"PID0010","Email workflow",214.6
"PID0010","Communication workflow",152.5
"PID0010","Document and comment",154.1
"PID0010","Analysis and research",194.6
"PID0010","General assistance",119.4
"PID0010","Specialised workflow",155.1
"PID0011","Write or debug code",0
"PID0011","Meeting workflow",0
"PID0011","Email workflow",0
"PID0011","Communication workflow",0
"PID0011","Document and comment",0
"PID0011","Analysis and research",0
"PID0011","General assistance",0
"PID0011","Specialised workflow",0
"PID0012","Write or debug code",158.5
"PID0012","Meeting workflow",265.3
"PID0012","Email workflow",396.2
"PID0012","Communication workflow",200.1
"PID0012","Document and comment",322
"PID0012","Analysis and research",242.1
"PID0012","General assistance",174.7
"PID0012","Specialised workflow",80.9
"PID0013","Write or debug code",8.6
"PID0013","Meeting workflow",20.8
"PID0013","Email workflow",25.5
"PID0013","Communication workflow",15.6
"PID0013","Document and comment",19.5
"PID0013","Analysis and research",17.8
"PID0013","General assistance",12.6
"PID0013","Specialised workflow",4.8
"PID0014","Write or debug code",2.9
"PID0014","Meeting workflow",0.5
"PID0014","Email workflow",0.6
"PID0014","Communication workflow",0.4
"PID0014","Document and comment",0.5
"PID0014","Analysis and research",0.7
"PID0014","General assistance",0.3
"PID0014","Specialised workflow",0.4
"PID0015","Write or debug code",2.5
"PID0015","Meeting workflow",5.7
"PID0015","Email workflow",8.8
"PID0015","Communication workflow",11.3
"PID0015","Document and comment",15.3
"PID0015","Analysis and research",7.5
"PID0015","General assistance",4.7
"PID0015","Specialised workflow",2.3
"PID0016","Write or debug code",289.1
"PID0016","Meeting workflow",48.3
"PID0016","Email workflow",75.6
"PID0016","Communication workflow",40.5
"PID0016","Document and comment",54
"PID0016","Analysis and research",66
"PID0016","General assistance",35.3
"PID0016","Specialised workflow",29.6
"PID0017","Write or debug code",32.1
"PID0017","Meeting workflow",102.5
"PID0017","Email workflow",114.5
"PID0017","Communication workflow",69.3
"PID0017","Document and comment",98.3
"PID0017","Analysis and research",70.8
"PID0017","General assistance",41.5
"PID0017","Specialised workflow",16
"PID0018","Write or debug code",92.5
"PID0018","Meeting workflow",155.4
"PID0018","Email workflow",280.2
"PID0018","Communication workflow",351.5
"PID0018","Document and comment",492.1
"PID0018","Analysis and research",255.9
"PID0018","General assistance",110.4
"PID0018","Specialised workflow",52.7
"PID0019","Write or debug code",2.4
"PID0019","Meeting workflow",6.4
"PID0019","Email workflow",7.4
"PID0019","Communication workflow",5
"PID0019","Document and comment",8.6
"PID0019","Analysis and research",4.9
"PID0019","General assistance",4.9
"PID0019","Specialised workflow",1.5
"PID0020","Write or debug code",26.4
"PID0020","Meeting workflow",71.7
"PID0020","Email workflow",61.4
"PID0020","Communication workflow",41.2
"PID0020","Document and comment",59.5
"PID0020","Analysis and research",54.7
"PID0020","General assistance",35.1
"PID0020","Specialised workflow",12.7
"PID0021","Write or debug code",181.7
"PID0021","Meeting workflow",508.8
"PID0021","Email workflow",803.8
"PID0021","Communication workflow",1095.9
"PID0021","Document and comment",359.8
"PID0021","Analysis and research",295.8
"PID0021","General assistance",704.3
"PID0021","Specialised workflow",171.6
"PID0022","Write or debug code",4.3
"PID0022","Meeting workflow",23.4
"PID0022","Email workflow",36.4
"PID0022","Communication workflow",28.6
"PID0022","Document and comment",18.8
"PID0022","Analysis and research",14.2
"PID0022","General assistance",10.4
"PID0022","Specialised workflow",4.9
"PID0023","Write or debug code",0
"PID0023","Meeting workflow",0
"PID0023","Email workflow",0
"PID0023","Communication workflow",0
"PID0023","Document and comment",0
"PID0023","Analysis and research",0
"PID0023","General assistance",0
"PID0023","Specialised workflow",0
"PID0024","Write or debug code",0
"PID0024","Meeting workflow",0
"PID0024","Email workflow",0
"PID0024","Communication workflow",0
"PID0024","Document and comment",0
"PID0024","Analysis and research",0
"PID0024","General assistance",0
"PID0024","Specialised workflow",0
"PID0025","Write or debug code",0.9
"PID0025","Meeting workflow",2.6
"PID0025","Email workflow",4.3
"PID0025","Communication workflow",4.7
"PID0025","Document and comment",3
"PID0025","Analysis and research",2
"PID0025","General assistance",4.9
"PID0025","Specialised workflow",1.4
"PID0026","Write or debug code",1.5
"PID0026","Meeting workflow",9.7
"PID0026","Email workflow",15.2
"PID0026","Communication workflow",6.5
"PID0026","Document and comment",5.8
"PID0026","Analysis and research",5.3
"PID0026","General assistance",4.2
"PID0026","Specialised workflow",1.5
"PID0027","Write or debug code",0.2
"PID0027","Meeting workflow",1.5
"PID0027","Email workflow",1.1
"PID0027","Communication workflow",1.3
"PID0027","Document and comment",1.1
"PID0027","Analysis and research",0.9
"PID0027","General assistance",0.6
"PID0027","Specialised workflow",0.4
"PID0028","Write or debug code",11.7
"PID0028","Meeting workflow",46.1
"PID0028","Email workflow",67.8
"PID0028","Communication workflow",19.8
"PID0028","Document and comment",116.5
"PID0028","Analysis and research",65.6
"PID0028","General assistance",18
"PID0028","Specialised workflow",15.8
"PID0029","Write or debug code",9.7
"PID0029","Meeting workflow",40.1
"PID0029","Email workflow",36.3
"PID0029","Communication workflow",22.8
"PID0029","Document and comment",97.7
"PID0029","Analysis and research",48.4
"PID0029","General assistance",12.4
"PID0029","Specialised workflow",13.1
"PID0030","Write or debug code",4.3
"PID0030","Meeting workflow",13.7
"PID0030","Email workflow",13.3
"PID0030","Communication workflow",10.3
"PID0030","Document and comment",15.4
"PID0030","Analysis and research",11.2
"PID0030","General assistance",8.6
"PID0030","Specialised workflow",2.9
"PID0031","Write or debug code",270.6
"PID0031","Meeting workflow",71.5
"PID0031","Email workflow",63.5
"PID0031","Communication workflow",76.8
"PID0031","Document and comment",90.5
"PID0031","Analysis and research",124.4
"PID0031","General assistance",51.2
"PID0031","Specialised workflow",55.5
"PID0032","Write or debug code",5.9
"PID0032","Meeting workflow",18.4
"PID0032","Email workflow",16.5
"PID0032","Communication workflow",9.8
"PID0032","Document and comment",15.4
"PID0032","Analysis and research",24.5
"PID0032","General assistance",10.2
"PID0032","Specialised workflow",5.2
"PID0033","Write or debug code",8.3
"PID0033","Meeting workflow",35.5
"PID0033","Email workflow",44.5
"PID0033","Communication workflow",55.4
"PID0033","Document and comment",27.4
"PID0033","Analysis and research",32.5
"PID0033","General assistance",26.9
"PID0033","Specialised workflow",11.2
"PID0034","Write or debug code",7
"PID0034","Meeting workflow",31.6
"PID0034","Email workflow",47.6
"PID0034","Communication workflow",16.9
"PID0034","Document and comment",58.7
"PID0034","Analysis and research",34.4
"PID0034","General assistance",12.2
"PID0034","Specialised workflow",14.8
"PID0035","Write or debug code",6.7
"PID0035","Meeting workflow",39.3
"PID0035","Email workflow",47.3
"PID0035","Communication workflow",24.1
"PID0035","Document and comment",28.7
"PID0035","Analysis and research",21.9
"PID0035","General assistance",16.3
"PID0035","Specialised workflow",8.8
"PID0036","Write or debug code",6
"PID0036","Meeting workflow",17.9
"PID0036","Email workflow",34.4
"PID0036","Communication workflow",37.3
"PID0036","Document and comment",20.3
"PID0036","Analysis and research",13.7
"PID0036","General assistance",25
"PID0036","Specialised workflow",7.7
"PID0037","Write or debug code",1.9
"PID0037","Meeting workflow",3.9
"PID0037","Email workflow",4
"PID0037","Communication workflow",3.7
"PID0037","Document and comment",3.3
"PID0037","Analysis and research",2.5
"PID0037","General assistance",2.1
"PID0037","Specialised workflow",0.8
"PID0038","Write or debug code",17
"PID0038","Meeting workflow",63.7
"PID0038","Email workflow",95.7
"PID0038","Communication workflow",30.6
"PID0038","Document and comment",180.2
"PID0038","Analysis and research",89.4
"PID0038","General assistance",23.5
"PID0038","Specialised workflow",22.3
"PID0039","Write or debug code",13.1
"PID0039","Meeting workflow",92.4
"PID0039","Email workflow",169.2
"PID0039","Communication workflow",37.3
"PID0039","Document and comment",169.9
"PID0039","Analysis and research",75.5
"PID0039","General assistance",22
"PID0039","Specialised workflow",32.9
"PID0040","Write or debug code",130
"PID0040","Meeting workflow",30.7
"PID0040","Email workflow",34.5
"PID0040","Communication workflow",28.4
"PID0040","Document and comment",22.5
"PID0040","Analysis and research",29.1
"PID0040","General assistance",12.8
"PID0040","Specialised workflow",24.3
"PID0041","Write or debug code",6.6
"PID0041","Meeting workflow",33.7
"PID0041","Email workflow",38.1
"PID0041","Communication workflow",23.5
"PID0041","Document and comment",25.7
"PID0041","Analysis and research",19.5
"PID0041","General assistance",18.2
"PID0041","Specialised workflow",5.2
"PID0042","Write or debug code",0
"PID0042","Meeting workflow",0
"PID0042","Email workflow",0
"PID0042","Communication workflow",0
"PID0042","Document and comment",0
"PID0042","Analysis and research",0
"PID0042","General assistance",0
"PID0042","Specialised workflow",0
"PID0043","Write or debug code",708.2
"PID0043","Meeting workflow",158.6
"PID0043","Email workflow",153.7
"PID0043","Communication workflow",167.7
"PID0043","Document and comment",160.1
"PID0043","Analysis and research",167.8
"PID0043","General assistance",93.8
"PID0043","Specialised workflow",128.9
"PID0044","Write or debug code",0
"PID0044","Meeting workflow",0
"PID0044","Email workflow",0
"PID0044","Communication workflow",0
"PID0044","Document and comment",0
"PID0044","Analysis and research",0
"PID0044","General assistance",0
"PID0044","Specialised workflow",0
"PID0045","Write or debug code",0.1
"PID0045","Meeting workflow",0.3
"PID0045","Email workflow",0.5
"PID0045","Communication workflow",0.6
"PID0045","Document and comment",0.3
"PID0045","Analysis and research",0.2
"PID0045","General assistance",0.3
"PID0045","Specialised workflow",0.1
"PID0046","Write or debug code",371.4
"PID0046","Meeting workflow",96.5
"PID0046","Email workflow",85.2
"PID0046","Communication workflow",66.5
"PID0046","Document and comment",76.4
"PID0046","Analysis and research",94
"PID0046","General assistance",36.1
"PID0046","Specialised workflow",51.4
"PID0047","Write or debug code",0.8
"PID0047","Meeting workflow",2.6
"PID0047","Email workflow",4.6
"PID0047","Communication workflow",1.5
"PID0047","Document and comment",9.6
"PID0047","Analysis and research",3.5
"PID0047","General assistance",1.4
"PID0047","Specialised workflow",1.2
"PID0048","Write or debug code",6
"PID0048","Meeting workflow",19.1
"PID0048","Email workflow",13.8
"PID0048","Communication workflow",9.5
"PID0048","Document and comment",16.1
"PID0048","Analysis and research",9.4
"PID0048","General assistance",5.8
"PID0048","Specialised workflow",2.6
"PID0049","Write or debug code",22.3
"PID0049","Meeting workflow",107.3
"PID0049","Email workflow",146.1
"PID0049","Communication workflow",82.9
"PID0049","Document and comment",96.2
"PID0049","Analysis and research",110.6
"PID0049","General assistance",54.8
