"PersonId","MetricDate","Total_Copilot_actions_taken","Input_tokens","Output_tokens","Reasoning_tokens","Copilot_credits_consumed"
"PID0001",2026-01-04,8,9734,4299,910,7.7
"PID0001",2026-01-11,13,12574,3652,2436,11.5
"PID0001",2026-01-18,9,15232,9313,2216,16
"PID0001",2026-01-25,7,7920,2426,841,5.6
"PID0001",2026-02-01,8,6854,2576,942,5.8
"PID0001",2026-02-08,0,0,0,0,0
"PID0001",2026-02-15,9,9321,4207,1446,8.8
"PID0001",2026-02-22,16,28571,12634,6551,32.2
"PID0001",2026-03-01,13,9222,4226,821,7.3
"PID0001",2026-03-08,15,28885,15118,3033,25.5
"PID0001",2026-03-15,0,0,0,0,0
"PID0001",2026-03-22,11,12767,4306,2434,12.1
"PID0001",2026-03-29,21,22241,10057,3182,20.4
"PID0001",2026-04-05,20,14841,6332,1807,12.6
"PID0001",2026-04-12,0,0,0,0,0
"PID0001",2026-04-19,18,28185,13907,3527,25.6
"PID0001",2026-04-26,17,16829,5376,2348,13.5
"PID0001",2026-05-03,16,14664,6340,1998,13
"PID0001",2026-05-10,19,25010,12819,4330,26.1
"PID0001",2026-05-17,0,0,0,0,0
"PID0001",2026-05-24,25,25604,11009,5857,28.6
"PID0001",2026-05-31,12,12032,5331,1923,11.5
"PID0001",2026-06-07,19,32656,11410,6200,31.2
"PID0001",2026-06-14,18,40487,20948,6134,40.2
"PID0001",2026-06-21,15,21634,6978,2933,17.2
"PID0001",2026-06-28,21,27405,10933,4267,24.9
"PID0002",2026-01-04,10,8319,3171,2506,10.5
"PID0002",2026-01-11,15,13011,6569,2330,13.7
"PID0002",2026-01-18,14,8275,5235,1440,9.4
"PID0002",2026-01-25,0,0,0,0,0
"PID0002",2026-02-01,17,13847,6998,2334,14.2
"PID0002",2026-02-08,11,14355,5766,2625,14
"PID0002",2026-02-15,27,24138,14102,4923,28.4
"PID0002",2026-02-22,31,19172,6774,5416,22.8
"PID0002",2026-03-01,29,15261,9023,4577,21.7
"PID0002",2026-03-08,24,7776,3041,1516,7.8
"PID0002",2026-03-15,0,0,0,0,0
"PID0002",2026-03-22,35,30915,16009,9181,41.9
"PID0002",2026-03-29,21,17505,5870,2516,14.5
"PID0002",2026-04-05,29,13493,7456,1921,13.5
"PID0002",2026-04-12,32,24708,14600,5136,29.5
"PID0002",2026-04-19,24,16976,7713,3878,19.3
"PID0002",2026-04-26,30,30803,16585,3755,28.8
"PID0002",2026-05-03,31,16545,8185,4118,20.2
"PID0002",2026-05-10,36,24478,9958,4631,24.4
"PID0002",2026-05-17,30,15578,10278,3599,20.3
"PID0002",2026-05-24,23,14801,8924,3410,18.6
"PID0002",2026-05-31,27,22299,10612,4768,24.9
"PID0002",2026-06-07,40,22475,8543,3448,19.9
"PID0002",2026-06-14,29,14651,8346,2571,16
"PID0002",2026-06-21,31,23583,11344,7984,33.8
"PID0002",2026-06-28,39,20106,5767,3153,16.5
"PID0003",2026-01-04,0,0,0,0,0
"PID0003",2026-01-11,0,0,0,0,0
"PID0003",2026-01-18,0,0,0,0,0
"PID0003",2026-01-25,11,5298,1717,226,3
"PID0003",2026-02-01,17,13073,5295,708,8.6
"PID0003",2026-02-08,6,2013,1014,73,1.4
"PID0003",2026-02-15,5,3848,1243,205,2.3
"PID0003",2026-02-22,15,9013,3773,334,5.7
"PID0003",2026-03-01,11,8508,3028,400,5.1
"PID0003",2026-03-08,0,0,0,0,0
"PID0003",2026-03-15,10,8040,3430,299,5.1
"PID0003",2026-03-22,7,2951,1111,106,1.7
"PID0003",2026-03-29,14,9524,5427,422,7.3
"PID0003",2026-04-05,0,0,0,0,0
"PID0003",2026-04-12,26,16801,8491,1028,12.7
"PID0003",2026-04-19,13,6361,2420,381,4.2
"PID0003",2026-04-26,17,10423,2834,356,5.2
