PersonId,AgentId,MetricDate,Copilot credits used for agents,Returning agent user (most recent and prior 28 days),Returning agent user (most recent and prior 7 days)
synthetic-person-00009,S_a0b1c757a4eba82ce77a7c328de291c4,2025-09-07,1,0,0
synthetic-person-00009,S_a0b1c757a4eba82ce77a7c328de291c4,2025-09-14,1,1,1
synthetic-person-00009,S_a0b1c757a4eba82ce77a7c328de291c4,2025-10-19,2,0,0
synthetic-person-00009,S_a0b1c757a4eba82ce77a7c328de291c4,2025-11-09,1,1,0
synthetic-person-00009,S_a0b1c757a4eba82ce77a7c328de291c4,2025-11-16,1,1,1
synthetic-person-00009,S_a0b1c757a4eba82ce77a7c328de291c4,2026-02-01,1,0,0
synthetic-person-00009,S_a0b1c757a4eba82ce77a7c328de291c4,2026-02-08,1,1,1
synthetic-person-00009,S_a0b1c757a4eba82ce77a7c328de291c4,2026-02-22,1,1,0
synthetic-person-00009,S_a0b1c757a4eba82ce77a7c328de291c4,2026-05-17,2,0,0
synthetic-person-00009,S_a0b1c757a4eba82ce77a7c328de291c4,2026-06-14,1,1,0
synthetic-person-00009,S_a0b1c757a4eba82ce77a7c328de291c4,2026-06-28,1,1,0
synthetic-person-00009,S_a0b1c757a4eba82ce77a7c328de291c4,2026-07-19,1,1,0
synthetic-person-00009,S_a0b1c757a4eba82ce77a7c328de291c4,2026-09-06,1,0,0
synthetic-person-00009,S_f760cbcdd1b48cb41c5a93595ef59fdb,2025-09-14,7,0,0
synthetic-person-00009,S_f760cbcdd1b48cb41c5a93595ef59fdb,2025-10-26,1,0,0
synthetic-person-00009,S_f760cbcdd1b48cb41c5a93595ef59fdb,2026-01-04,1,0,0
synthetic-person-00009,S_f760cbcdd1b48cb41c5a93595ef59fdb,2026-02-15,3,0,0
synthetic-person-00009,S_f760cbcdd1b48cb41c5a93595ef59fdb,2026-03-08,1,1,0
synthetic-person-00009,S_f760cbcdd1b48cb41c5a93595ef59fdb,2026-05-10,2,0,0
synthetic-person-00009,S_f760cbcdd1b48cb41c5a93595ef59fdb,2026-05-17,1,1,1
synthetic-person-00009,S_f760cbcdd1b48cb41c5a93595ef59fdb,2026-06-21,1,0,0
synthetic-person-00009,S_f760cbcdd1b48cb41c5a93595ef59fdb,2026-07-26,1,0,0
synthetic-person-00009,S_f760cbcdd1b48cb41c5a93595ef59fdb,2026-08-02,4,1,1
synthetic-person-00009,S_f760cbcdd1b48cb41c5a93595ef59fdb,2026-08-09,1,1,1
synthetic-person-00009,S_f760cbcdd1b48cb41c5a93595ef59fdb,2026-08-16,3,1,1
synthetic-person-00009,S_f760cbcdd1b48cb41c5a93595ef59fdb,2026-08-23,1,1,1
synthetic-person-00009,S_f760cbcdd1b48cb41c5a93595ef59fdb,2026-08-30,1,1,1
synthetic-person-00009,S_45ad2ab462f40091a7dad281e3039093,2025-10-19,1,0,0
synthetic-person-00009,S_45ad2ab462f40091a7dad281e3039093,2025-12-07,1,0,0
synthetic-person-00009,S_45ad2ab462f40091a7dad281e3039093,2026-01-04,1,1,0
synthetic-person-00009,S_45ad2ab462f40091a7dad281e3039093,2026-02-01,1,1,0
synthetic-person-00009,S_45ad2ab462f40091a7dad281e3039093,2026-03-15,1,0,0
synthetic-person-00009,S_45ad2ab462f40091a7dad281e3039093,2026-03-29,4,1,0
synthetic-person-00009,S_45ad2ab462f40091a7dad281e3039093,2026-05-03,1,0,0
synthetic-person-00009,S_45ad2ab462f40091a7dad281e3039093,2026-05-17,5,1,0
synthetic-person-00009,S_45ad2ab462f40091a7dad281e3039093,2026-07-19,1,0,0
synthetic-person-00009,S_45ad2ab462f40091a7dad281e3039093,2026-08-16,1,1,0
synthetic-person-00009,S_d16ab340e035a7cd6b62a13a0dfcc37e,2025-09-28,1,0,0
synthetic-person-00009,S_d16ab340e035a7cd6b62a13a0dfcc37e,2025-11-09,9,0,0
synthetic-person-00009,S_d16ab340e035a7cd6b62a13a0dfcc37e,2026-02-08,2,0,0
synthetic-person-00009,S_d16ab340e035a7cd6b62a13a0dfcc37e,2026-03-29,4,0,0
synthetic-person-00009,S_d16ab340e035a7cd6b62a13a0dfcc37e,2026-04-05,3,1,1
synthetic-person-00009,S_d16ab340e035a7cd6b62a13a0dfcc37e,2026-04-19,2,1,0
synthetic-person-00009,S_d16ab340e035a7cd6b62a13a0dfcc37e,2026-05-10,1,1,0
synthetic-person-00009,S_d16ab340e035a7cd6b62a13a0dfcc37e,2026-06-07,1,1,0
synthetic-person-00009,S_d16ab340e035a7cd6b62a13a0dfcc37e,2026-07-05,1,1,0
synthetic-person-00009,S_d16ab340e035a7cd6b62a13a0dfcc37e,2026-07-26,1,1,0
synthetic-person-00009,S_0bba32640262e659aafda735a1d3bf66,2025-09-07,1,0,0
synthetic-person-00009,S_0bba32640262e659aafda735a1d3bf66,2025-09-14,1,1,1
synthetic-person-00009,S_0bba32640262e659aafda735a1d3bf66,2025-11-09,1,0,0
synthetic-person-00009,S_0bba32640262e659aafda735a1d3bf66,2025-11-16,1,1,1
synthetic-person-00009,S_0bba32640262e659aafda735a1d3bf66,2025-11-30,1,1,0
synthetic-person-00009,S_0bba32640262e659aafda735a1d3bf66,2025-12-14,1,1,0
