PeopleHistoricalId,IsCopilotLicensed,Organization,FunctionType,LevelDesignation,IsManager,Team,Role,Seniority,Tenure,IsDeveloper
02995d49-90df-31cf-97ba-5c229a76711f1784160000,true,Business Unit A,Marketing,Manager,Yes,Developer Experience,Infrastructure engineering,Experienced,Under 2 years,Yes
030041c0-f398-3572-9c7e-3edf3d9d2ea31784160000,true,Business Unit B,Marketing,Manager,Yes,Identity,Application engineering,Experienced,2 to 5 years,Yes
030bb81c-acaf-3231-afd0-45578846dc061784160000,true,Business Unit C,Sales,Individual Contributor,No,Data Engineering,Other job families,Experienced,2 to 5 years,No
03258615-f0ae-3265-b5eb-490bdff3232f1784160000,true,Business Unit E,Engineering,Manager,Yes,Platform,Infrastructure engineering,Early career,2 to 5 years,Yes
0388e0d9-8d10-3b74-a111-fdac480a08251784160000,true,Business Unit A,Engineering,Individual Contributor,No,Identity,Application engineering,Senior / lead,Under 2 years,Yes
03b0bf44-cd94-31c8-a8e0-18baa15adee61784160000,true,Business Unit A,Sales,Manager,Yes,Developer Experience,Other job families,Experienced,2 to 5 years,No
03f2a73d-c392-39e9-922e-4f78b7dde2511784160000,true,Business Unit E,Engineering,Manager,Yes,Data Engineering,Application engineering,Experienced,Under 2 years,Yes
040272dc-b399-3229-ad84-d8ffd348c20b1784160000,true,Business Unit E,Sales,Individual Contributor,No,Data Engineering,Other job families,Experienced,Under 2 years,No
04f49ac6-5f35-3df9-b623-c026f24561e11784160000,true,Business Unit D,Sales,Individual Contributor,No,Mobile,Infrastructure engineering,Early career,2 to 5 years,Yes
0555042a-3841-3dc5-bc85-aea0ba8074f51784160000,true,Business Unit A,Sales,Manager,Yes,Developer Experience,Application engineering,Senior / lead,2 to 5 years,Yes
057fdb65-c9a6-3187-8665-02f02f57f5811784160000,true,Business Unit E,Finance,Individual Contributor,No,Mobile,Other job families,Senior / lead,Under 2 years,No
058405ed-a696-3d34-bfe7-c3bdbcd57ca31784160000,true,Business Unit A,Finance,Senior Manager,Yes,Developer Experience,Other job families,Senior / lead,2 to 5 years,No
0594d9cc-176f-3811-b8ff-1badba391ea11784160000,true,Business Unit A,Engineering,Manager,Yes,Identity,Infrastructure engineering,Early career,Under 2 years,Yes
06e33f1d-dda0-31b8-915e-bde6cf9b40121784160000,true,Business Unit E,Engineering,Individual Contributor,No,Mobile,Infrastructure engineering,Senior / lead,Over 5 years,Yes
071015e8-3dae-3fe5-84fb-880f246723951784160000,true,Business Unit D,Engineering,Manager,Yes,Mobile,Infrastructure engineering,Experienced,Under 2 years,Yes
0769202c-7965-32a1-8d36-1cd52b64377d1784160000,true,Business Unit B,Product,Individual Contributor,No,Payments,Infrastructure engineering,Senior / lead,Over 5 years,Yes
0834a8d5-db47-3f2b-8f52-89726cb486de1784160000,true,Business Unit B,Engineering,Individual Contributor,No,Platform,Engineering management,Early career,2 to 5 years,Yes
0a163c53-c7ae-3344-a9e2-d46f7129c9ef1784160000,true,Business Unit C,Marketing,Individual Contributor,No,Mobile,Other job families,Senior / lead,2 to 5 years,No
0ad85948-ba64-3e69-8763-6878e479e0fb1784160000,true,Business Unit E,Operations,Manager,Yes,Identity,Other job families,Senior / lead,Under 2 years,No
0bd9c8a1-cf25-3dfe-9380-6143b1183f531784160000,true,Business Unit A,Marketing,Individual Contributor,No,Developer Experience,Application engineering,Senior / lead,Under 2 years,Yes
0d06916c-fc74-37b3-8630-7f2eb8b273471784160000,false,Business Unit C,Engineering,Individual Contributor,No,Developer Experience,Infrastructure engineering,Senior / lead,Over 5 years,Yes
0d27bc97-59cd-32d0-9146-960993fea8f21784160000,true,Business Unit C,Engineering,Individual Contributor,No,Identity,Engineering management,Experienced,Over 5 years,Yes
0d66e094-d57b-3221-bdb4-ff9f2a6fa6b61784160000,true,Business Unit E,Engineering,Individual Contributor,No,Data Engineering,Infrastructure engineering,Senior / lead,2 to 5 years,Yes
0f7a9277-d005-30c0-8821-910389205cba1784160000,true,Business Unit C,Engineering,Manager,Yes,Mobile,Infrastructure engineering,Senior / lead,2 to 5 years,Yes
103be95c-0738-36fc-9aca-d07b1504909a1784160000,true,Business Unit D,Engineering,Manager,Yes,Data Engineering,Application engineering,Experienced,2 to 5 years,Yes
108e1055-4067-36ab-86d5-3ac2be2e867f1784160000,true,Business Unit E,Engineering,Manager,Yes,Platform,Application engineering,Senior / lead,Under 2 years,Yes
1094d4eb-2c4b-3c82-bb41-36696a7752891784160000,true,Business Unit D,Engineering,Individual Contributor,No,Developer Experience,Infrastructure engineering,Experienced,2 to 5 years,Yes
110fff46-fb0b-3e9a-9353-b15cf434f1b71784160000,true,Business Unit B,Finance,Senior Manager,Yes,Payments,Infrastructure engineering,Experienced,Under 2 years,Yes
1176a69b-fd42-3989-9822-360026e942a41784160000,true,Business Unit A,Product,Individual Contributor,No,Payments,Application engineering,Early career,2 to 5 years,Yes
11bffcbb-8405-32ec-99c7-3bb0231e421e1784160000,true,Business Unit E,Product,Individual Contributor,No,Mobile,Other job families,Early career,Under 2 years,No
12b66c85-8f8c-33d0-82bb-725890efa8da1784160000,true,Business Unit B,Product,Manager,Yes,Payments,Application engineering,Experienced,Under 2 years,Yes
15d19e1d-74b8-3948-867f-63a4a11885391784160000,true,Business Unit A,Engineering,Senior Manager,Yes,Payments,Application engineering,Experienced,2 to 5 years,Yes
15f19ccf-5f54-370e-914a-19ef0d6e7bfe1784160000,true,Business Unit D,Engineering,Senior Manager,Yes,Platform,Application engineering,Early career,2 to 5 years,Yes
