"PersonId","month_key","Internal_network_size","External_network_size","Strong_ties","Diverse_ties","Network_outside_organization"
"PID0001","2026-01",54,12,22,11,5
"PID0001","2026-02",63,12,22,14,4
"PID0001","2026-03",60,12,20,11,5
"PID0001","2026-04",71,13,22,16,5
"PID0001","2026-05",52,18,17,7,3
"PID0001","2026-06",62,11,25,17,7
"PID0002","2026-01",59,10,17,14,4
"PID0002","2026-02",65,18,19,13,5
"PID0002","2026-03",62,8,22,15,2
"PID0002","2026-04",60,19,21,11,5
"PID0002","2026-05",67,16,24,19,8
"PID0002","2026-06",71,15,24,20,4
"PID0003","2026-01",39,16,13,6,5
"PID0003","2026-02",56,17,17,11,3
"PID0003","2026-03",44,12,17,11,1
"PID0003","2026-04",54,10,15,10,4
"PID0003","2026-05",49,11,16,15,4
"PID0003","2026-06",50,19,18,9,5
"PID0004","2026-01",50,14,20,10,4
"PID0004","2026-02",57,8,19,9,4
"PID0004","2026-03",51,10,16,13,1
"PID0004","2026-04",60,17,17,13,5
"PID0004","2026-05",56,13,18,11,2
"PID0004","2026-06",49,14,16,9,4
"PID0005","2026-01",43,14,14,13,5
"PID0005","2026-02",57,15,17,9,4
"PID0005","2026-03",52,16,15,11,2
"PID0005","2026-04",55,10,20,18,1
"PID0005","2026-05",48,15,14,12,1
"PID0005","2026-06",55,17,14,11,5
"PID0006","2026-01",47,6,12,12,5
"PID0006","2026-02",35,11,4,8,5
"PID0006","2026-03",37,3,13,10,3
"PID0006","2026-04",58,15,19,7,4
"PID0006","2026-05",63,12,19,14,5
"PID0006","2026-06",41,14,16,9,4
"PID0007","2026-01",53,13,20,9,3
"PID0007","2026-02",42,9,15,10,4
"PID0007","2026-03",50,13,21,12,4
"PID0007","2026-04",36,3,14,10,2
"PID0007","2026-05",54,13,22,13,4
"PID0007","2026-06",32,9,6,5,4
"PID0008","2026-01",45,16,19,7,7
"PID0008","2026-02",45,18,16,10,8
"PID0008","2026-03",65,12,22,9,5
"PID0008","2026-04",64,6,23,11,3
"PID0008","2026-05",66,9,25,16,5
"PID0008","2026-06",59,4,18,14,3
"PID0009","2026-01",50,12,16,15,2
"PID0009","2026-02",52,1,13,14,3
"PID0009","2026-03",48,5,18,9,2
"PID0009","2026-04",36,8,10,8,3
"PID0009","2026-05",53,10,23,9,3
"PID0009","2026-06",43,13,15,8,3
"PID0010","2026-01",72,10,26,13,4
"PID0010","2026-02",74,10,26,14,5
"PID0010","2026-03",92,17,33,14,6
"PID0010","2026-04",91,14,25,21,7
"PID0010","2026-05",53,14,19,12,4
"PID0010","2026-06",64,14,23,12,8
"PID0011","2026-01",39,14,12,11,1
"PID0011","2026-02",25,10,11,6,5
"PID0011","2026-03",45,17,19,9,3
"PID0011","2026-04",33,9,10,7,1
"PID0011","2026-05",48,13,19,15,4
"PID0011","2026-06",50,5,19,17,3
"PID0012","2026-01",53,5,19,10,3
"PID0012","2026-02",56,17,17,12,4
"PID0012","2026-03",40,17,10,11,2
"PID0012","2026-04",40,8,12,6,5
"PID0012","2026-05",67,9,23,12,4
"PID0012","2026-06",46,12,17,4,4
"PID0013","2026-01",41,13,13,7,3
"PID0013","2026-02",44,10,16,13,4
"PID0013","2026-03",37,17,18,13,4
"PID0013","2026-04",68,7,22,14,4
"PID0013","2026-05",50,9,20,11,4
"PID0013","2026-06",54,7,16,13,3
"PID0014","2026-01",37,11,15,6,3
"PID0014","2026-02",50,17,16,12,6
"PID0014","2026-03",56,12,19,13,4
"PID0014","2026-04",37,11,14,9,2
"PID0014","2026-05",46,15,17,5,5
"PID0014","2026-06",54,13,20,16,4
"PID0015","2026-01",45,9,16,7,5
"PID0015","2026-02",55,17,23,12,4
"PID0015","2026-03",50,10,14,12,1
"PID0015","2026-04",50,14,18,13,4
"PID0015","2026-05",41,10,12,6,3
"PID0015","2026-06",52,18,19,12,0
"PID0016","2026-01",62,7,18,17,7
"PID0016","2026-02",61,14,14,15,6
"PID0016","2026-03",52,17,18,10,5
"PID0016","2026-04",52,15,14,13,5
"PID0016","2026-05",54,8,21,8,5
"PID0016","2026-06",59,17,22,12,7
"PID0017","2026-01",68,10,27,16,6
"PID0017","2026-02",72,14,25,13,6
"PID0017","2026-03",63,23,22,11,3
"PID0017","2026-04",71,16,27,12,7
"PID0017","2026-05",66,21,23,19,8
"PID0017","2026-06",66,16,24,11,4
"PID0018","2026-01",64,14,23,15,6
"PID0018","2026-02",67,10,24,14,5
"PID0018","2026-03",73,20,30,16,4
"PID0018","2026-04",64,14,23,12,3
"PID0018","2026-05",70,16,27,12,7
"PID0018","2026-06",64,9,22,12,3
"PID0019","2026-01",49,13,23,9,1
"PID0019","2026-02",58,10,21,14,3
"PID0019","2026-03",30,6,12,6,2
"PID0019","2026-04",45,9,17,14,4
"PID0019","2026-05",42,8,13,15,3
"PID0019","2026-06",52,18,18,11,3
"PID0020","2026-01",37,20,13,5,4
"PID0020","2026-02",58,2,16,15,4
"PID0020","2026-03",48,16,19,10,4
"PID0020","2026-04",55,6,13,13,2
"PID0020","2026-05",54,8,14,11,2
"PID0020","2026-06",51,13,18,13,2
"PID0021","2026-01",57,18,22,12,4
"PID0021","2026-02",69,6,24,15,4
"PID0021","2026-03",59,18,17,11,5
"PID0021","2026-04",62,9,23,14,3
"PID0021","2026-05",54,19,15,12,6
"PID0021","2026-06",65,19,22,9,6
"PID0022","2026-01",63,9,25,12,3
"PID0022","2026-02",38,11,14,11,2
"PID0022","2026-03",47,6,15,9,2
"PID0022","2026-04",43,10,15,12,2
"PID0022","2026-05",63,3,21,14,3
"PID0022","2026-06",56,12,19,10,1
"PID0023","2026-01",47,9,17,12,6
"PID0023","2026-02",44,19,14,12,4
"PID0023","2026-03",38,5,18,10,4
"PID0023","2026-04",54,11,21,13,4
"PID0023","2026-05",69,13,24,12,6
"PID0023","2026-06",54,7,21,10,3
"PID0024","2026-01",55,14,19,10,4
"PID0024","2026-02",43,13,16,8,2
"PID0024","2026-03",38,10,15,5,2
"PID0024","2026-04",55,8,17,14,1
"PID0024","2026-05",50,19,19,9,2
"PID0024","2026-06",53,16,16,14,3
"PID0025","2026-01",26,15,5,7,1
"PID0025","2026-02",25,1,4,7,2
"PID0025","2026-03",46,16,16,10,3
"PID0025","2026-04",50,10,14,11,1
"PID0025","2026-05",40,18,19,7,1
"PID0025","2026-06",43,11,16,10,4
"PID0026","2026-01",59,22,19,16,6
"PID0026","2026-02",67,9,25,14,4
"PID0026","2026-03",58,19,20,13,6
"PID0026","2026-04",67,13,24,13,5
"PID0026","2026-05",57,15,21,13,4
"PID0026","2026-06",66,17,15,15,7
"PID0027","2026-01",42,12,8,10,4
"PID0027","2026-02",49,13,19,13,5
"PID0027","2026-03",42,17,13,7,2
"PID0027","2026-04",46,14,18,5,3
"PID0027","2026-05",39,13,13,12,1
"PID0027","2026-06",59,15,15,14,3
"PID0028","2026-01",43,9,9,5,5
"PID0028","2026-02",52,10,11,8,3
"PID0028","2026-03",31,6,6,6,3
"PID0028","2026-04",33,8,7,11,1
"PID0028","2026-05",34,6,10,0,3
"PID0028","2026-06",60,10,23,18,2
"PID0029","2026-01",57,9,21,13,4
"PID0029","2026-02",46,11,15,16,1
"PID0029","2026-03",45,12,18,6,3
"PID0029","2026-04",51,10,18,4,4
"PID0029","2026-05",57,15,20,12,4
"PID0029","2026-06",49,13,19,8,3
"PID0030","2026-01",38,13,7,8,4
"PID0030","2026-02",47,13,20,8,2
"PID0030","2026-03",52,11,17,12,6
"PID0030","2026-04",55,9,13,11,5
"PID0030","2026-05",59,7,20,11,0
"PID0030","2026-06",48,0,18,11,4
"PID0031","2026-01",59,13,24,16,4
"PID0031","2026-02",46,16,21,11,5
"PID0031","2026-03",62,11,21,18,5
"PID0031","2026-04",58,17,16,14,5
"PID0031","2026-05",48,10,14,10,5
"PID0031","2026-06",66,14,23,17,5
"PID0032","2026-01",47,12,16,15,5
"PID0032","2026-02",47,12,18,12,3
"PID0032","2026-03",59,14,26,13,4
"PID0032","2026-04",51,3,16,9,3
"PID0032","2026-05",62,10,21,9,3
"PID0032","2026-06",58,9,22,7,4
"PID0033","2026-01",47,14,11,8,3
"PID0033","2026-02",41,6,16,1,2
"PID0033","2026-03",33,5,11,12,3
"PID0033","2026-04",32,2,11,6,2
"PID0033","2026-05",44,11,14,9,5
"PID0033","2026-06",47,6,22,9,4
"PID0034","2026-01",52,12,17,4,3
"PID0034","2026-02",44,10,16,14,3
"PID0034","2026-03",29,20,14,6,3
"PID0034","2026-04",36,10,13,9,3
"PID0034","2026-05",48,13,17,11,4
"PID0034","2026-06",43,12,18,14,3
"PID0035","2026-01",53,10,16,7,5
"PID0035","2026-02",49,16,23,12,2
"PID0035","2026-03",57,18,18,12,4
"PID0035","2026-04",64,13,19,13,4
"PID0035","2026-05",58,13,19,14,5
"PID0035","2026-06",39,13,13,4,3
"PID0036","2026-01",55,12,19,10,5
"PID0036","2026-02",49,6,11,11,5
"PID0036","2026-03",47,10,19,10,5
"PID0036","2026-04",47,8,16,8,1
"PID0036","2026-05",43,15,16,7,3
"PID0036","2026-06",50,11,14,10,6
"PID0037","2026-01",41,15,20,12,3
"PID0037","2026-02",48,10,17,10,3
"PID0037","2026-03",52,8,15,8,4
"PID0037","2026-04",34,6,12,9,2
"PID0037","2026-05",45,10,17,8,3
"PID0037","2026-06",28,11,10,6,2
"PID0038","2026-01",60,12,23,10,4
"PID0038","2026-02",70,9,23,14,5
"PID0038","2026-03",64,8,24,10,7
"PID0038","2026-04",70,22,28,15,7
"PID0038","2026-05",61,15,22,15,7
"PID0038","2026-06",80,11,25,17,6
"PID0039","2026-01",54,9,18,10,3
"PID0039","2026-02",60,13,18,13,6
"PID0039","2026-03",38,15,10,11,2
"PID0039","2026-04",33,7,11,5,2
"PID0039","2026-05",46,13,16,17,3
"PID0039","2026-06",41,15,16,10,2
"PID0040","2026-01",53,10,18,11,4
"PID0040","2026-02",61,2,18,13,2
"PID0040","2026-03",54,10,18,8,6
"PID0040","2026-04",45,10,17,10,2
"PID0040","2026-05",44,10,12,11,4
"PID0040","2026-06",47,7,19,9,2
"PID0041","2026-01",68,17,23,23,5
"PID0041","2026-02",79,12,27,16,6
"PID0041","2026-03",63,9,25,14,5
"PID0041","2026-04",58,20,22,11,8
"PID0041","2026-05",39,13,9,11,6
"PID0041","2026-06",57,8,20,13,2
"PID0042","2026-01",59,14,26,12,3
"PID0042","2026-02",61,11,22,6,4
"PID0042","2026-03",53,16,10,10,2
"PID0042","2026-04",57,11,19,19,5
"PID0042","2026-05",66,13,23,11,5
"PID0042","2026-06",63,6,19,12,4
"PID0043","2026-01",57,14,18,20,3
"PID0043","2026-02",58,9,15,12,6
"PID0043","2026-03",59,13,21,14,5
"PID0043","2026-04",68,13,26,11,4
"PID0043","2026-05",57,8,23,15,2
"PID0043","2026-06",72,15,25,15,3
"PID0044","2026-01",35,8,18,7,2
"PID0044","2026-02",49,8,16,13,4
"PID0044","2026-03",61,9,25,12,2
"PID0044","2026-04",40,7,12,10,1
"PID0044","2026-05",40,12,14,9,2
"PID0044","2026-06",58,15,18,10,2
"PID0045","2026-01",39,6,13,10,5
"PID0045","2026-02",42,9,9,7,6
"PID0045","2026-03",39,12,21,7,6
"PID0045","2026-04",44,6,13,11,4
"PID0045","2026-05",56,12,24,10,4
"PID0045","2026-06",53,1,17,12,4
"PID0046","2026-01",61,11,22,12,3
"PID0046","2026-02",58,7,20,16,6
"PID0046","2026-03",62,9,23,11,4
"PID0046","2026-04",48,17,10,10,4
"PID0046","2026-05",60,10,18,15,2
"PID0046","2026-06",57,12,18,13,5
"PID0047","2026-01",43,16,12,8,2
"PID0047","2026-02",54,12,17,8,3
"PID0047","2026-03",67,3,22,10,1
"PID0047","2026-04",49,11,16,10,4
"PID0047","2026-05",47,11,16,13,4
"PID0047","2026-06",48,10,15,8,6
"PID0048","2026-01",44,16,19,11,3
"PID0048","2026-02",53,9,21,6,4
"PID0048","2026-03",47,14,16,9,0
"PID0048","2026-04",49,5,16,8,4
"PID0048","2026-05",48,7,14,9,2
"PID0048","2026-06",35,13,11,0,3
"PID0049","2026-01",61,13,21,9,5
"PID0049","2026-02",61,9,26,9,4
"PID0049","2026-03",64,18,22,17,7
"PID0049","2026-04",65,8,25,8,5
"PID0049","2026-05",65,7,27,15,6
"PID0049","2026-06",62,9,21,15,5
"PID0050","2026-01",58,11,17,11,3
"PID0050","2026-02",52,13,23,10,4
"PID0050","2026-03",60,14,19,15,4
"PID0050","2026-04",65,15,21,14,6
"PID0050","2026-05",50,20,19,5,1
"PID0050","2026-06",51,12,14,11,2
"PID0051","2026-01",56,13,16,14,4
"PID0051","2026-02",56,15,17,11,4
"PID0051","2026-03",49,12,12,8,4
"PID0051","2026-04",58,7,18,17,3
"PID0051","2026-05",54,15,14,9,4
"PID0051","2026-06",49,11,15,14,5
"PID0052","2026-01",39,14,12,8,2
"PID0052","2026-02",45,9,18,13,3
"PID0052","2026-03",55,9,17,16,5
"PID0052","2026-04",44,15,11,9,3
"PID0052","2026-05",48,7,16,12,3
"PID0052","2026-06",59,8,19,12,3
"PID0053","2026-01",51,16,16,16,7
"PID0053","2026-02",38,15,19,11,2
"PID0053","2026-03",47,13,13,9,2
"PID0053","2026-04",44,17,12,11,1
"PID0053","2026-05",45,15,11,3,5
"PID0053","2026-06",41,13,19,12,2
"PID0054","2026-01",84,14,28,20,7
"PID0054","2026-02",67,11,18,7,6
"PID0054","2026-03",89,20,34,20,6
"PID0054","2026-04",81,15,30,20,7
"PID0054","2026-05",65,12,25,15,5
"PID0054","2026-06",70,17,25,12,5
"PID0055","2026-01",59,10,21,13,3
"PID0055","2026-02",45,0,15,8,4
"PID0055","2026-03",48,6,16,6,4
"PID0055","2026-04",53,14,16,15,3
"PID0055","2026-05",62,11,21,14,6
"PID0055","2026-06",55,14,21,9,6
"PID0056","2026-01",69,18,22,15,7
"PID0056","2026-02",53,13,13,15,8
"PID0056","2026-03",74,13,24,18,4
"PID0056","2026-04",48,9,13,5,6
"PID0056","2026-05",61,16,22,12,6
"PID0056","2026-06",59,16,19,14,7
"PID0057","2026-01",69,10,22,9,3
"PID0057","2026-02",54,11,17,12,2
"PID0057","2026-03",56,17,17,12,2
"PID0057","2026-04",68,11,21,12,3
"PID0057","2026-05",51,18,20,6,4
"PID0057","2026-06",72,11,27,15,0
"PID0058","2026-01",54,18,15,6,5
"PID0058","2026-02",51,5,22,16,1
"PID0058","2026-03",63,19,18,14,1
"PID0058","2026-04",62,16,22,9,3
"PID0058","2026-05",54,7,16,11,2
"PID0058","2026-06",46,13,20,11,3
"PID0059","2026-01",44,15,19,11,5
"PID0059","2026-02",44,19,15,10,4
"PID0059","2026-03",50,15,15,11,5
"PID0059","2026-04",43,6,10,8,4
"PID0059","2026-05",48,8,17,14,3
"PID0059","2026-06",52,12,22,11,3
"PID0060","2026-01",58,4,21,13,3
"PID0060","2026-02",49,11,15,17,3
"PID0060","2026-03",47,15,15,12,0
"PID0060","2026-04",42,9,17,8,4
"PID0060","2026-05",43,17,17,10,2
"PID0060","2026-06",40,11,12,15,1
"PID0061","2026-01",50,10,14,11,2
"PID0061","2026-02",46,14,17,14,3
"PID0061","2026-03",52,10,21,10,4
"PID0061","2026-04",45,11,18,9,2
"PID0061","2026-05",48,6,22,12,4
"PID0061","2026-06",45,4,18,7,4
"PID0062","2026-01",52,14,19,6,1
"PID0062","2026-02",52,10,21,7,4
"PID0062","2026-03",50,13,15,4,0
"PID0062","2026-04",55,15,13,17,4
"PID0062","2026-05",43,15,15,11,2
"PID0062","2026-06",54,15,20,7,3
"PID0063","2026-01",44,21,17,6,5
"PID0063","2026-02",49,7,13,11,4
"PID0063","2026-03",37,13,15,11,3
"PID0063","2026-04",54,12,19,17,9
"PID0063","2026-05",48,17,11,7,6
"PID0063","2026-06",57,10,19,13,6
"PID0064","2026-01",48,7,14,11,3
"PID0064","2026-02",34,13,15,5,2
"PID0064","2026-03",44,12,12,12,4
"PID0064","2026-04",56,15,22,13,4
"PID0064","2026-05",28,10,8,5,6
"PID0064","2026-06",26,19,11,3,0
"PID0065","2026-01",64,14,20,10,5
"PID0065","2026-02",56,14,19,7,7
"PID0065","2026-03",50,12,17,7,3
"PID0065","2026-04",45,13,15,11,2
"PID0065","2026-05",64,12,21,18,5
"PID0065","2026-06",56,19,18,11,5
"PID0066","2026-01",51,12,13,11,2
"PID0066","2026-02",51,10,17,14,4
"PID0066","2026-03",39,3,14,9,4
"PID0066","2026-04",44,9,16,12,2
"PID0066","2026-05",52,16,20,9,4
"PID0066","2026-06",29,12,10,4,3
"PID0067","2026-01",49,12,15,7,4
"PID0067","2026-02",49,14,18,10,1
"PID0067","2026-03",60,10,16,15,2
"PID0067","2026-04",36,14,14,6,4
"PID0067","2026-05",46,13,17,12,3
"PID0067","2026-06",64,9,24,12,3
"PID0068","2026-01",45,15,14,8,6
"PID0068","2026-02",45,8,16,12,3
"PID0068","2026-03",43,8,13,9,4
"PID0068","2026-04",55,14,10,12,5
"PID0068","2026-05",46,6,11,13,3
"PID0068","2026-06",45,9,16,11,4
"PID0069","2026-01",40,17,12,12,5
"PID0069","2026-02",56,14,15,12,2
"PID0069","2026-03",67,12,27,10,6
"PID0069","2026-04",54,9,23,13,6
"PID0069","2026-05",52,9,20,8,3
"PID0069","2026-06",43,8,12,11,1
"PID0070","2026-01",50,8,21,8,0
"PID0070","2026-02",31,12,9,6,2
"PID0070","2026-03",48,15,19,16,3
"PID0070","2026-04",33,13,13,9,2
"PID0070","2026-05",31,15,16,12,3
"PID0070","2026-06",29,15,9,6,4
"PID0071","2026-01",40,13,14,8,4
"PID0071","2026-02",50,13,20,9,6
"PID0071","2026-03",36,4,15,5,1
"PID0071","2026-04",58,13,15,14,2
"PID0071","2026-05",55,12,17,14,4
"PID0071","2026-06",43,16,15,7,0
"PID0072","2026-01",48,1,16,10,4
"PID0072","2026-02",50,6,19,12,5
"PID0072","2026-03",37,12,11,11,7
"PID0072","2026-04",37,8,11,8,1
"PID0072","2026-05",42,5,16,4,3
"PID0072","2026-06",38,6,13,6,5
"PID0073","2026-01",53,18,15,11,6
"PID0073","2026-02",49,28,20,9,6
"PID0073","2026-03",61,14,28,12,4
"PID0073","2026-04",67,9,20,15,6
"PID0073","2026-05",52,15,19,8,4
"PID0073","2026-06",56,12,17,11,7
"PID0074","2026-01",60,9,19,12,6
"PID0074","2026-02",68,10,24,15,8
"PID0074","2026-03",80,12,30,13,6
"PID0074","2026-04",68,13,21,14,4
"PID0074","2026-05",70,17,27,14,4
"PID0074","2026-06",68,7,22,16,6
"PID0075","2026-01",56,14,20,13,3
"PID0075","2026-02",49,10,16,9,2
"PID0075","2026-03",48,10,20,8,3
"PID0075","2026-04",63,14,22,13,4
"PID0075","2026-05",49,11,19,12,1
"PID0075","2026-06",42,3,15,4,2
"PID0076","2026-01",54,9,19,14,4
"PID0076","2026-02",62,11,23,9,6
"PID0076","2026-03",31,10,3,6,3
"PID0076","2026-04",56,11,20,13,4
"PID0076","2026-05",51,11,12,15,4
"PID0076","2026-06",73,20,28,16,4
"PID0077","2026-01",44,17,15,5,4
"PID0077","2026-02",50,13,18,14,4
"PID0077","2026-03",60,16,18,13,2
"PID0077","2026-04",39,9,8,12,2
"PID0077","2026-05",61,8,21,13,0
"PID0077","2026-06",39,7,9,3,2
"PID0078","2026-01",63,17,19,16,3
"PID0078","2026-02",52,14,17,17,3
"PID0078","2026-03",36,17,17,7,1
"PID0078","2026-04",58,15,22,18,4
"PID0078","2026-05",40,11,15,8,4
"PID0078","2026-06",43,11,14,10,2
"PID0079","2026-01",38,7,12,4,4
"PID0079","2026-02",60,8,21,16,4
"PID0079","2026-03",48,21,18,8,5
"PID0079","2026-04",55,11,19,15,2
"PID0079","2026-05",55,20,18,11,3
"PID0079","2026-06",55,13,16,7,4
"PID0080","2026-01",61,9,22,18,3
"PID0080","2026-02",58,10,18,10,4
"PID0080","2026-03",52,9,15,7,2
"PID0080","2026-04",45,6,17,8,3
"PID0080","2026-05",40,20,13,7,4
"PID0080","2026-06",54,2,18,12,2
"PID0081","2026-01",50,15,21,12,4
"PID0081","2026-02",64,12,24,16,3
"PID0081","2026-03",46,11,17,9,4
"PID0081","2026-04",68,14,21,10,4
"PID0081","2026-05",75,16,25,13,3
"PID0081","2026-06",60,17,20,12,4
"PID0082","2026-01",44,15,15,8,4
"PID0082","2026-02",49,12,5,14,3
"PID0082","2026-03",48,14,19,9,2
"PID0082","2026-04",36,4,16,13,2
"PID0082","2026-05",50,16,18,15,3
"PID0082","2026-06",35,4,11,13,2
"PID0083","2026-01",52,14,26,11,5
"PID0083","2026-02",51,18,20,14,5
"PID0083","2026-03",55,10,18,10,4
"PID0083","2026-04",54,24,18,15,2
"PID0083","2026-05",54,12,20,16,3
"PID0083","2026-06",45,13,18,10,5
"PID0084","2026-01",58,12,18,13,5
"PID0084","2026-02",42,10,13,11,3
"PID0084","2026-03",47,8,11,8,3
"PID0084","2026-04",38,4,16,5,4
"PID0084","2026-05",48,7,18,9,3
"PID0084","2026-06",56,16,18,14,4
"PID0085","2026-01",52,6,17,3,4
"PID0085","2026-02",59,14,26,16,3
"PID0085","2026-03",49,11,18,16,3
"PID0085","2026-04",58,12,18,10,3
"PID0085","2026-05",52,8,20,14,3
"PID0085","2026-06",52,14,21,19,4
"PID0086","2026-01",60,12,24,16,9
"PID0086","2026-02",57,16,18,11,5
"PID0086","2026-03",38,8,10,10,6
"PID0086","2026-04",60,11,20,16,7
"PID0086","2026-05",61,8,24,10,6
"PID0086","2026-06",68,12,17,19,5
"PID0087","2026-01",40,8,10,13,3
"PID0087","2026-02",47,14,17,10,1
"PID0087","2026-03",49,9,16,10,1
"PID0087","2026-04",59,17,17,11,4
"PID0087","2026-05",53,14,15,7,1
"PID0087","2026-06",41,17,15,10,2
"PID0088","2026-01",51,14,18,12,6
"PID0088","2026-02",60,11,20,12,6
"PID0088","2026-03",63,16,21,10,5
"PID0088","2026-04",50,13,20,10,4
"PID0088","2026-05",57,8,19,13,5
"PID0088","2026-06",56,8,22,11,4
"PID0089","2026-01",55,8,18,7,6
"PID0089","2026-02",44,18,15,7,2
"PID0089","2026-03",48,17,11,10,2
"PID0089","2026-04",45,15,15,7,3
"PID0089","2026-05",54,16,14,13,4
"PID0089","2026-06",60,6,19,10,3
"PID0090","2026-01",44,12,18,8,4
