PersonId,MetricDate,Language,Feature,Usage count by language and feature
0388e0d9-8d10-3b74-a111-fdac480a0825,2026-04-06,json,code_completion,1
0388e0d9-8d10-3b74-a111-fdac480a0825,2026-04-06,python,code_completion,1
04f49ac6-5f35-3df9-b623-c026f24561e1,2026-04-06,python,chat_panel_ask_mode,1
04f49ac6-5f35-3df9-b623-c026f24561e1,2026-04-06,python,chat_panel_edit_mode,2
04f49ac6-5f35-3df9-b623-c026f24561e1,2026-04-06,python,code_completion,6
04f49ac6-5f35-3df9-b623-c026f24561e1,2026-04-06,typescript,chat_panel_ask_mode,1
04f49ac6-5f35-3df9-b623-c026f24561e1,2026-04-06,typescript,chat_panel_edit_mode,1
04f49ac6-5f35-3df9-b623-c026f24561e1,2026-04-06,typescript,code_completion,3
0555042a-3841-3dc5-bc85-aea0ba8074f5,2026-04-06,go,chat_panel_edit_mode,2
0555042a-3841-3dc5-bc85-aea0ba8074f5,2026-04-06,go,code_completion,9
0555042a-3841-3dc5-bc85-aea0ba8074f5,2026-04-06,javascript,chat_panel_edit_mode,3
0555042a-3841-3dc5-bc85-aea0ba8074f5,2026-04-06,javascript,code_completion,7
071015e8-3dae-3fe5-84fb-880f24672395,2026-04-06,c#,chat_panel_agent_mode,2
071015e8-3dae-3fe5-84fb-880f24672395,2026-04-06,sql,code_completion,3
071015e8-3dae-3fe5-84fb-880f24672395,2026-04-06,unknown,chat_inline,1
071015e8-3dae-3fe5-84fb-880f24672395,2026-04-06,unknown,chat_panel_ask_mode,1
071015e8-3dae-3fe5-84fb-880f24672395,2026-04-06,unknown,code_completion,1
0834a8d5-db47-3f2b-8f52-89726cb486de,2026-04-06,c#,agent_edit,2
0834a8d5-db47-3f2b-8f52-89726cb486de,2026-04-06,c#,code_completion,6
0834a8d5-db47-3f2b-8f52-89726cb486de,2026-04-06,json,agent_edit,7
0834a8d5-db47-3f2b-8f52-89726cb486de,2026-04-06,json,code_completion,6
0834a8d5-db47-3f2b-8f52-89726cb486de,2026-04-06,python,agent_edit,2
0834a8d5-db47-3f2b-8f52-89726cb486de,2026-04-06,python,code_completion,7
0bd9c8a1-cf25-3dfe-9380-6143b1183f53,2026-04-06,typescript,chat_panel_edit_mode,3
0bd9c8a1-cf25-3dfe-9380-6143b1183f53,2026-04-06,typescript,code_completion,13
0bd9c8a1-cf25-3dfe-9380-6143b1183f53,2026-04-06,yaml,agent_edit,2
0bd9c8a1-cf25-3dfe-9380-6143b1183f53,2026-04-06,yaml,chat_panel_edit_mode,6
0bd9c8a1-cf25-3dfe-9380-6143b1183f53,2026-04-06,yaml,code_completion,8
0d06916c-fc74-37b3-8630-7f2eb8b27347,2026-04-06,markdown,code_completion,2
0d06916c-fc74-37b3-8630-7f2eb8b27347,2026-04-06,typescript,code_completion,1
0d66e094-d57b-3221-bdb4-ff9f2a6fa6b6,2026-04-06,java,code_completion,6
0d66e094-d57b-3221-bdb4-ff9f2a6fa6b6,2026-04-06,javascript,chat_panel_ask_mode,1
0d66e094-d57b-3221-bdb4-ff9f2a6fa6b6,2026-04-06,javascript,chat_panel_plan_mode,1
0d66e094-d57b-3221-bdb4-ff9f2a6fa6b6,2026-04-06,javascript,code_completion,8
