PersonId,MetricDate,Language,Model,Usage count by language and model
0388e0d9-8d10-3b74-a111-fdac480a0825,2026-04-06,json,claude-haiku-4.5,1
0388e0d9-8d10-3b74-a111-fdac480a0825,2026-04-06,python,claude-haiku-4.5,1
04f49ac6-5f35-3df9-b623-c026f24561e1,2026-04-06,python,gpt-5.3-codex,2
04f49ac6-5f35-3df9-b623-c026f24561e1,2026-04-06,python,gpt-5.4,1
04f49ac6-5f35-3df9-b623-c026f24561e1,2026-04-06,python,gpt-5.6-terra,6
04f49ac6-5f35-3df9-b623-c026f24561e1,2026-04-06,typescript,gpt-5.3-codex,4
04f49ac6-5f35-3df9-b623-c026f24561e1,2026-04-06,typescript,gpt-5.4,1
0555042a-3841-3dc5-bc85-aea0ba8074f5,2026-04-06,go,claude-haiku-4.5,11
0555042a-3841-3dc5-bc85-aea0ba8074f5,2026-04-06,javascript,claude-haiku-4.5,10
071015e8-3dae-3fe5-84fb-880f24672395,2026-04-06,c#,gpt-5.4,1
071015e8-3dae-3fe5-84fb-880f24672395,2026-04-06,c#,gpt-5.6-terra,1
071015e8-3dae-3fe5-84fb-880f24672395,2026-04-06,sql,gpt-5.4,1
071015e8-3dae-3fe5-84fb-880f24672395,2026-04-06,sql,gpt-5.6-terra,2
071015e8-3dae-3fe5-84fb-880f24672395,2026-04-06,unknown,gpt-5.4,3
0834a8d5-db47-3f2b-8f52-89726cb486de,2026-04-06,c#,gpt-5.4,4
0834a8d5-db47-3f2b-8f52-89726cb486de,2026-04-06,c#,gpt-5.6-terra,4
0834a8d5-db47-3f2b-8f52-89726cb486de,2026-04-06,json,gpt-5.4,7
0834a8d5-db47-3f2b-8f52-89726cb486de,2026-04-06,json,gpt-5.6-terra,6
0834a8d5-db47-3f2b-8f52-89726cb486de,2026-04-06,python,gpt-5.4,4
0834a8d5-db47-3f2b-8f52-89726cb486de,2026-04-06,python,gpt-5.6-terra,5
0bd9c8a1-cf25-3dfe-9380-6143b1183f53,2026-04-06,typescript,gpt-5.4,16
0bd9c8a1-cf25-3dfe-9380-6143b1183f53,2026-04-06,yaml,gpt-5.4,16
0d06916c-fc74-37b3-8630-7f2eb8b27347,2026-04-06,markdown,gpt-5.4,2
0d06916c-fc74-37b3-8630-7f2eb8b27347,2026-04-06,typescript,gpt-5.4,1
0d66e094-d57b-3221-bdb4-ff9f2a6fa6b6,2026-04-06,java,gpt-5.4,6
0d66e094-d57b-3221-bdb4-ff9f2a6fa6b6,2026-04-06,javascript,gpt-5.4,10
0d66e094-d57b-3221-bdb4-ff9f2a6fa6b6,2026-04-06,typescript,gpt-5.4,6
108e1055-4067-36ab-86d5-3ac2be2e867f,2026-04-06,c#,gpt-5.6-terra,2
108e1055-4067-36ab-86d5-3ac2be2e867f,2026-04-06,python,gpt-5.6-terra,7
1094d4eb-2c4b-3c82-bb41-36696a775289,2026-04-06,go,claude-haiku-4.5,2
1094d4eb-2c4b-3c82-bb41-36696a775289,2026-04-06,java,claude-haiku-4.5,11
1094d4eb-2c4b-3c82-bb41-36696a775289,2026-04-06,typescript,claude-haiku-4.5,13
110fff46-fb0b-3e9a-9353-b15cf434f1b7,2026-04-06,python,gpt-5.4-mini,6
110fff46-fb0b-3e9a-9353-b15cf434f1b7,2026-04-06,typescript,gpt-5.4-mini,8
17e9c47e-62ba-33a6-96e1-95ad3c636d22,2026-04-06,javascript,claude-sonnet-5,2
17e9c47e-62ba-33a6-96e1-95ad3c636d22,2026-04-06,python,claude-sonnet-5,6
17e9c47e-62ba-33a6-96e1-95ad3c636d22,2026-04-06,python,gpt-5.4,3
18d39ce1-5a60-3a9e-9621-bfa693409e77,2026-04-06,java,claude-haiku-4.5,24
19008d6d-be6f-38f0-8a72-4525e9b98022,2026-04-06,markdown,claude-sonnet-5,5
19008d6d-be6f-38f0-8a72-4525e9b98022,2026-04-06,python,claude-sonnet-5,10
1b3fb613-cf66-3fd2-9f95-ff50109c0acd,2026-04-06,typescript,gpt-5.4,2
1b3fb613-cf66-3fd2-9f95-ff50109c0acd,2026-04-06,typescript,gpt-5.4-mini,3
1b3fb613-cf66-3fd2-9f95-ff50109c0acd,2026-04-06,typescript,gpt-5.6-terra,4
1c3f0a45-334a-3810-b02a-7ba9181fca95,2026-04-06,markdown,claude-sonnet-5,2
1c3f0a45-334a-3810-b02a-7ba9181fca95,2026-04-06,markdown,gpt-5.4,4
1c3f0a45-334a-3810-b02a-7ba9181fca95,2026-04-06,markdown,gpt-5.6-terra,3
1c3f0a45-334a-3810-b02a-7ba9181fca95,2026-04-06,yaml,claude-sonnet-5,4
1c3f0a45-334a-3810-b02a-7ba9181fca95,2026-04-06,yaml,gpt-5.4,1
1c3f0a45-334a-3810-b02a-7ba9181fca95,2026-04-06,yaml,gpt-5.6-terra,3
1e77b604-3a35-382d-aef0-2546310e4c08,2026-04-06,json,gpt-5.6-terra,32
1eae9205-92f7-36a7-94c5-cb082b3e7211,2026-04-06,typescript,gpt-5.6-terra,2
21e18788-026e-37c1-9a0a-259c58a0fc50,2026-04-06,java,gpt-5.4-mini,1
21e18788-026e-37c1-9a0a-259c58a0fc50,2026-04-06,sql,gpt-5.4-mini,2
21e18788-026e-37c1-9a0a-259c58a0fc50,2026-04-06,sql,gpt-5.6-terra,2
21e18788-026e-37c1-9a0a-259c58a0fc50,2026-04-06,typescript,gpt-5.6-terra,3
221e9e1f-4d97-3377-bd33-6a1b0c96bccd,2026-04-06,json,claude-sonnet-5,1
221e9e1f-4d97-3377-bd33-6a1b0c96bccd,2026-04-06,json,gpt-5.4,3
221e9e1f-4d97-3377-bd33-6a1b0c96bccd,2026-04-06,typescript,claude-sonnet-5,10
221e9e1f-4d97-3377-bd33-6a1b0c96bccd,2026-04-06,typescript,gpt-5.4,13
226055f6-f55e-381a-9363-c4f462e58856,2026-04-06,typescript,gpt-5.4,1
226055f6-f55e-381a-9363-c4f462e58856,2026-04-06,yaml,gpt-5.4,1
23085cdc-54fb-36cc-b1b5-242866ace099,2026-04-06,markdown,claude-haiku-4.5,1
23085cdc-54fb-36cc-b1b5-242866ace099,2026-04-06,markdown,gpt-5.4,4
23085cdc-54fb-36cc-b1b5-242866ace099,2026-04-06,yaml,claude-haiku-4.5,1
29768e10-7435-3d69-8503-a6f77e57bdcd,2026-04-06,java,claude-sonnet-5,1
29768e10-7435-3d69-8503-a6f77e57bdcd,2026-04-06,java,gpt-5.4,3
29768e10-7435-3d69-8503-a6f77e57bdcd,2026-04-06,java,gpt-5.6-terra,1
29768e10-7435-3d69-8503-a6f77e57bdcd,2026-04-06,javascript,gpt-5.4,1
