"PersonId","Team","Tenure","JobFamily","IsDeveloper","IsCopilotLicensed"
"P00001","Platform","2 to 5 years","Software Engineering",TRUE,TRUE
"P00002","Payments","Over 5 years","Software Engineering",TRUE,TRUE
"P00003","Developer Experience","2 to 5 years","Software Engineering",TRUE,TRUE
"P00004","Mobile","2 to 5 years","Software Engineering",TRUE,TRUE
"P00005","Payments","Under 2 years","Software Engineering",TRUE,TRUE
"P00006","Payments","Under 2 years","Software Engineering",TRUE,TRUE
"P00007","Identity","Under 2 years","Software Engineering",TRUE,TRUE
"P00008","Platform","Over 5 years","Software Engineering",TRUE,TRUE
"P00009","Platform","2 to 5 years","Software Engineering",TRUE,TRUE
"P00010","Data Engineering","2 to 5 years","Software Engineering",TRUE,TRUE
"P00011","Payments","Under 2 years","Software Engineering",TRUE,TRUE
"P00012","Platform","Under 2 years","Software Engineering",TRUE,TRUE
"P00013","Platform","2 to 5 years","Software Engineering",TRUE,TRUE
"P00014","Developer Experience","Under 2 years","Software Engineering",TRUE,TRUE
"P00015","Payments","Over 5 years","Software Engineering",TRUE,TRUE
"P00016","Payments","Over 5 years","Software Engineering",TRUE,TRUE
"P00017","Platform","Under 2 years","Software Engineering",TRUE,TRUE
"P00018","Data Engineering","2 to 5 years","Software Engineering",TRUE,TRUE
"P00019","Mobile","2 to 5 years","Software Engineering",TRUE,FALSE
"P00020","Platform","2 to 5 years","Software Engineering",TRUE,TRUE
"P00021","Developer Experience","Under 2 years","Software Engineering",TRUE,TRUE
"P00022","Mobile","Under 2 years","Software Engineering",TRUE,TRUE
"P00023","Payments","2 to 5 years","Software Engineering",TRUE,TRUE
"P00024","Developer Experience","2 to 5 years","Software Engineering",TRUE,TRUE
"P00025","Data Engineering","Over 5 years","Software Engineering",TRUE,FALSE
"P00026","Identity","Under 2 years","Software Engineering",TRUE,FALSE
"P00027","Platform","2 to 5 years","Software Engineering",TRUE,TRUE
"P00028","Developer Experience","Under 2 years","Software Engineering",TRUE,TRUE
"P00029","Identity","2 to 5 years","Software Engineering",TRUE,TRUE
"P00030","Data Engineering","Over 5 years","Software Engineering",TRUE,TRUE
