PersonId,MetricDate,Collaboration_hours,Meeting_hours,Email_hours,Chat_hours,Scheduled_call_hours,Unscheduled_call_hours,Channel_message_hours,Active_connected_hours,External_collaboration_hours,Available_to_focus_hours,Uninterrupted_hours,Interrupted_hours,Open_1_hour_block,Recurring_meeting_hours,Conflicting_meeting_hours,Meeting_hours_with_six_or_fewer_hours_of_advanced_notice,Emails_sent,Chats_sent,Meetings,Calls,After_hours_collaboration_hours,After_hours_meeting_hours,After_hours_email_hours,After_hours_chat_hours,Weekend_collaboration_hours,Collaboration_span,Internal_network_size,External_network_size,Strong_ties,Diverse_ties,Network_outside_organization,Total_Copilot_enabled_days,Organization,FunctionType,LevelDesignation,IsManager,Team,Role,Seniority,Tenure,IsDeveloper
a4897e9b-7fc7-3e17-9b47-a254a0b85f27,2026-01-04,2.712,0.5,0.214,0.847,0.702,0.151,0.298,14.165,0.692,38.798,18.088,20.71,20,0.177,0.079,0.091,17,52,1,1,3.425,0.664,0.703,0.245,1.221,11.945,53,2,15,18,5,0,Business Unit C,Engineering,Individual Contributor,No,Mobile,Infrastructure engineering,Experienced,Under 2 years,Yes
a4897e9b-7fc7-3e17-9b47-a254a0b85f27,2026-01-11,7.655,2.638,1.177,1.008,1.245,0.97,0.617,14.084,1.406,36.117,18.895,17.222,19,0.872,0.103,0.366,34,83,3,3,2.585,0.315,0.967,0.595,0.715,10.017,43,11,9,15,4,0,Business Unit C,Engineering,Individual Contributor,No,Mobile,Infrastructure engineering,Experienced,Under 2 years,Yes
a4897e9b-7fc7-3e17-9b47-a254a0b85f27,2026-01-18,5.562,1.858,1.145,0.29,0.827,1.223,0.22,11.649,1.357,37.315,17.953,19.362,20,0.776,0,0.02,20,68,3,3,3.962,1.274,0.859,0.645,0.159,11.777,46,10,9,10,6,0,Business Unit C,Engineering,Individual Contributor,No,Mobile,Infrastructure engineering,Experienced,Under 2 years,Yes
a4897e9b-7fc7-3e17-9b47-a254a0b85f27,2026-01-25,4.417,0.5,1.291,0.283,0.588,1.023,0.732,11.761,0.938,38.912,18.149,20.763,25,0.301,0.055,0.1,40,57,1,2,3.3,0.391,1.066,0.632,0.208,9.938,45,6,9,10,11,0,Business Unit C,Engineering,Individual Contributor,No,Mobile,Infrastructure engineering,Experienced,Under 2 years,Yes
a4897e9b-7fc7-3e17-9b47-a254a0b85f27,2026-02-01,3.028,0.5,0.896,0.614,0.25,0.454,0.314,7.815,0.384,39.25,22.764,16.486,18,0.344,0.009,0.034,30,57,1,1,4.187,0.792,1.206,0.812,0.869,10.509,54,4,11,8,11,0,Business Unit C,Engineering,Individual Contributor,No,Mobile,Infrastructure engineering,Experienced,Under 2 years,Yes
a4897e9b-7fc7-3e17-9b47-a254a0b85f27,2026-02-08,9.45,4.636,0.577,1.092,1.298,1.056,0.79,16.198,0.526,34.065,17.204,16.861,20,2.974,0,0.176,34,79,4,4,4.443,0.705,0.865,0.366,1.353,11.273,44,32,17,10,5,0,Business Unit C,Engineering,Individual Contributor,No,Mobile,Infrastructure engineering,Experienced,Under 2 years,Yes
a4897e9b-7fc7-3e17-9b47-a254a0b85f27,2026-02-15,4.834,1.175,1.172,0.526,0.444,1.343,0.174,10.469,0.259,38.381,19.408,18.973,23,0.435,0.116,0.117,23,50,1,2,4.095,1.686,1.387,0.931,0.482,11.448,47,9,10,12,12,0,Business Unit C,Engineering,Individual Contributor,No,Mobile,Infrastructure engineering,Experienced,Under 2 years,Yes
a4897e9b-7fc7-3e17-9b47-a254a0b85f27,2026-02-22,6.292,2.166,0.652,0.751,1.059,1.438,0.226,16.716,1.243,36.775,18.849,17.926,19,1.227,0.201,0.269,29,54,2,6,2.955,0.803,1.122,0.737,0.52,9.5,48,15,15,13,9,0,Business Unit C,Engineering,Individual Contributor,No,Mobile,Infrastructure engineering,Experienced,Under 2 years,Yes
a4897e9b-7fc7-3e17-9b47-a254a0b85f27,2026-03-01,7.547,1.276,1.568,1.548,0.761,0.55,1.844,17.585,0.907,37.963,18.621,19.341,17,0.415,0.184,0.221,31,88,1,2,3.822,1.502,0.802,0.68,0.507,11.847,52,12,11,17,5,0,Business Unit C,Engineering,Individual Contributor,No,Mobile,Infrastructure engineering,Experienced,Under 2 years,Yes
a4897e9b-7fc7-3e17-9b47-a254a0b85f27,2026-03-08,6.864,2.463,1.121,1.044,1.338,0.609,0.289,18.568,0.774,36.199,18.482,17.716,16,0.986,0.082,0.486,34,49,3,3,3.578,1.177,0.952,0.834,0.367,11.652,55,3,23,15,6,0,Business Unit C,Engineering,Individual Contributor,No,Mobile,Infrastructure engineering,Experienced,Under 2 years,Yes
