"PersonId","MetricDate","Meeting_hours","Scheduled_call_hours","Collaboration_hours","Available_to_focus_hours","Uninterrupted_hours","Interrupted_hours","Open_1_hour_block","Recurring_meeting_hours","Conflicting_meeting_hours","Meeting_hours_with_six_or_fewer_hours_of_advanced_notice","After_hours_collaboration_hours"
"SYN00001",2026-01-04,1.534,0.25,4.618,38.216,17.022,21.194,18,1.012,0.073,0.235,6.294
"SYN00001",2026-01-11,4.116,0.796,8.298,35.088,15.642,19.446,18,1.776,0.569,0.213,4.398
"SYN00001",2026-01-18,2.06,0.774,5.252,37.166,15.171,21.994,25,1.356,0.253,0.275,6.184
"SYN00001",2026-01-25,3.928,0.25,6.868,35.822,11.742,24.08,20,2.724,0.446,0.517,5.187
"SYN00001",2026-02-01,0.857,1.418,3.598,37.725,15.247,22.479,18,0.34,0.073,0.092,5.186
"SYN00001",2026-02-08,3.061,0.723,5.561,36.216,14.241,21.975,20,1.919,0.036,0.18,5.482
"SYN00001",2026-02-15,4.008,0.655,6.764,35.337,15.041,20.297,21,1.517,0.261,0.753,4.469
"SYN00001",2026-02-22,3.016,1.185,8.019,35.799,15.079,20.72,24,1.201,0.137,0.476,4.56
"SYN00001",2026-03-01,3.198,0.868,6.221,35.933,14.956,20.977,19,1.759,0.032,0.096,4.318
"SYN00001",2026-03-08,2.05,0.957,6.921,36.993,15.24,21.753,22,1.328,0.109,0.401,4.493
"SYN00001",2026-03-15,2.896,0.666,5.263,36.437,16.97,19.468,21,1.15,0.243,0.471,5.707
"SYN00001",2026-03-22,5.093,0.334,8.769,34.573,11.418,23.156,19,2.08,0.389,0.454,5.193
"SYN00001",2026-03-29,4.245,1.168,6.774,34.587,15.884,18.703,22,2.407,0.055,0.097,6.197
"SYN00001",2026-04-05,0.663,0.376,2.846,38.961,13.024,25.938,21,0.265,0.05,0.102,4.766
"SYN00001",2026-04-12,3.433,0.53,5.873,36.037,19.442,16.595,18,1.817,0.251,0.692,5.508
"SYN00001",2026-04-19,4.239,1.246,7.723,34.515,15.484,19.03,20,2.447,0.2,0.863,6.299
"SYN00001",2026-04-26,1.224,0.891,3.99,37.885,18.851,19.034,21,0.551,0.102,0.204,5.788
"SYN00001",2026-05-03,0.5,0.696,3.573,38.804,15.035,23.77,19,0.226,0.018,0.057,5.763
"SYN00001",2026-05-10,4.023,1.012,7.865,34.965,15.18,19.786,21,1.342,0.149,0.415,6.915
